model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1
93,dt_d4_s80_l20_w0.5.pkl,4,80,20,0.5,0.8339467479441026,0.8688735769922109,0.8510519674873089,0.7791947270382577,0.8832940794282466,0.8279852308629287
94,dt_d4_s80_l20_w0.6.pkl,4,80,20,0.6,0.8293902781680247,0.8843019772318754,0.8559663621864578,0.7724605281542546,0.8979939900917729,0.8305103841964923
95,dt_d4_s80_l20_w0.7.pkl,4,80,20,0.7,0.8304438671786764,0.8810964649490713,0.8550206407349265,0.7735120718697361,0.895070250954276,0.8298633334588306
96,dt_d4_s80_l20_w0.8.pkl,4,80,20,0.8,0.8273188688716604,0.888735769922109,0.8569282763800226,0.7699910152740341,0.9048160480792659,0.8319767007691733
97,dt_d4_s80_l20_w0.9.pkl,4,80,20,0.9,0.7979091474797759,0.9603355302576393,0.8716198762830535,0.7423413222620621,0.95841793226671,0.8366536689117334
98,dt_d4_s80_l20_w1.0.pkl,4,80,20,1.0,0.790785498489426,0.9723487118034752,0.8722186391486617,0.7353989917619574,0.9714935434094047,0.8371181636866231
99,dt_d4_s80_l30_w0.2.pkl,4,80,30,0.2,0.8966066741657293,0.57309766327142,0.6992470209810658,0.8482378601767879,0.6000974579712499,0.7029109589041096
100,dt_d4_s80_l30_w0.3.pkl,4,80,30,0.3,0.8815935371455726,0.6669263031755542,0.7593805430481648,0.8367043426531826,0.6853731828149111,0.7535157819545515
101,dt_d4_s80_l30_w0.4.pkl,4,80,30,0.4,0.8687890926980111,0.7406830437387657,0.799637763187684,0.823654768247203,0.7533501177617152,0.7869353128313892
102,dt_d4_s80_l30_w0.5.pkl,4,80,30,0.5,0.8339467479441026,0.8688735769922109,0.8510519674873089,0.7791947270382577,0.8832940794282466,0.8279852308629287
103,dt_d4_s80_l30_w0.6.pkl,4,80,30,0.6,0.8293532617856942,0.8843618933493109,0.8559747151100414,0.7724224643755239,0.8980752050678145,0.8305231138983815
104,dt_d4_s80_l30_w0.7.pkl,4,80,30,0.7,0.8304438671786764,0.8810964649490713,0.8550206407349265,0.7735120718697361,0.895070250954276,0.8298633334588306
105,dt_d4_s80_l30_w0.8.pkl,4,80,30,0.8,0.8273188688716604,0.888735769922109,0.8569282763800226,0.7699910152740341,0.9048160480792659,0.8319767007691733
106,dt_d4_s80_l30_w0.9.pkl,4,80,30,0.9,0.7979091474797759,0.9603355302576393,0.8716198762830535,0.7423413222620621,0.95841793226671,0.8366536689117334
107,dt_d4_s80_l30_w1.0.pkl,4,80,30,1.0,0.790785498489426,0.9723487118034752,0.8722186391486617,0.7353989917619574,0.9714935434094047,0.8371181636866231
108,dt_d4_s80_l40_w0.2.pkl,4,80,40,0.2,0.8968190574637034,0.5718094667465549,0.6983517187128405,0.8483733762501436,0.5993665231868757,0.7024557395773844
